inscription_id,sign_sequence,site,object_type,line_count,damaged,reading_direction,motif,mean_uncertainty
1084.0,MSg1 MSg1 MSg379 MSg194,unknown,unknown,1,False,R-L,unknown,0.0
1085.0,MSg267 MSg99 MSg0,unknown,unknown,1,False,R-L,unknown,0.0
1086.0,MSg267 MSg99 MSg124 MSg342,unknown,unknown,1,False,R-L,unknown,0.0
1087.0,MSg87 MSg244 MSg28 MSg162 MSg99 MSg65 MSg67 MSg87 MSg59 MSg51 MSg130 MSg149 MSg342,unknown,unknown,1,False,R-L,unknown,0.0
1088.0,MSg391 MSg99 MSg387 MSg67 MSg59 MSg211,unknown,unknown,1,False,R-L,unknown,0.0
1089.0,MSg0 MSg059 MSg192 MSg347 MSg342,unknown,unknown,1,False,R-L,unknown,20.0
1090.0,MSg197 MSg336 MSg342 MSg205 MSg060,unknown,unknown,1,False,R-L,unknown,20.0
1091.0,MSg267 MSg99 MSg102 MSg162,unknown,unknown,1,False,R-L,unknown,0.0
1092.0,MSg28 MSg162 MSg343 MSg106 MSg287 MSg342,unknown,unknown,1,False,R-L,unknown,0.0
1093.1,MSg67,unknown,unknown,1,False,R-L,unknown,0.0
1093.2,MSg342 MSg82 MSg342,unknown,unknown,1,False,R-L,unknown,0.0
1093.3,MSg347 MSg342,unknown,unknown,1,False,R-L,unknown,0.0
1094.0,MSg267 MSg99 MSg171 MSg59 MSg336 MSg89 MSg211,unknown,unknown,1,False,R-L,unknown,0.0
1095.0,MSg150 MSg123 MSg70 MSg389 MSg342,unknown,unknown,1,False,R-L,unknown,0.0
1096.0,MSg267 MSg99 MSg67 MSg216 MSg254,unknown,unknown,1,False,R-L,unknown,0.0
1097.0,MSg086 MSg267 MSg99 MSg67 MSg348 MSg342,unknown,unknown,1,False,R-L,unknown,16.67
1098.0,MSg267 MSg99 MSg65 MSg347 MSg342,unknown,unknown,1,False,R-L,unknown,0.0
1099.1,MSg050 MSg403 MSg343 MSg194 MSg8 MSg342,unknown,unknown,1,False,R-L,unknown,16.67
1099.2,MSg266,unknown,unknown,1,False,R-L,unknown,0.0
1100.0,MSg150 MSg123 MSg293 MSg51 MSg342,unknown,unknown,1,False,R-L,unknown,0.0
1101.1,MSg17 MSg51 MSg245 MSg245,unknown,unknown,1,False,R-L,unknown,0.0
1101.2,MSg186 MSg149,unknown,unknown,1,False,R-L,unknown,0.0
1102.0,MSg133 MSg150,unknown,unknown,1,False,R-L,unknown,0.0
