inscription_id,sign_sequence,site,object_type,line_count,damaged,reading_direction,motif
M-23A,P324 P197 P120 P256 P217 P050 P060 P121 P160 P350 P390 P076 P202,Mohenjo-daro,seal,2,True,L-R,unicorn_II
M-24A,P013 P324 P062 P060 P122 P174 P011,Mohenjo-daro,seal,1,True,L-R,unicorn_II
M-25A,P268 P268 P050 P316 P276,Mohenjo-daro,seal,1,True,L-R,unicorn_II
M-26A,P013 P324 P228 P120 P256,Mohenjo-daro,seal,1,False,L-R,unicorn_II
M-27A,P238 P060 P364 P325 P311 P154 P123,Mohenjo-daro,seal,1,True,L-R,unicorn_II
M-28A,P000 P103 P324 P332 P349 P095 P122 P385,Mohenjo-daro,seal,1,False,L-R,unicorn_II
M-29A,P324 P142 P062 P060 P364 P122 P050 P221 P210,Mohenjo-daro,seal,1,True,L-R,unicorn_II
M-30A,P324 P332 P127 P210 P062 P060 P364,Mohenjo-daro,seal,1,False,L-R,unicorn_II
M-31A,P324 P067 P275 P058 P120 P378,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-32A,P086 P123 P122 P385,Mohenjo-daro,seal,1,False,L-R,unicorn_III
M-33A,P324 P145 P175 P111 P058 P122 P041,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-34A,P324 P309 P194 P122 P086 P108 P103,Mohenjo-daro,seal,1,False,L-R,unicorn_III
M-35A,P324 P086 P276 P058 P056 P122 P007,Mohenjo-daro,seal,1,False,L-R,unicorn_III
M-36A,P324 P358 P270 P050 P145 P122 P202 P174 P307,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-37A,P217 P050 P092,Mohenjo-daro,seal,1,False,L-R,unicorn_III
M-38A,P324 P256 P188 P073 P050 P145 P062 P060 P122 P086 P035 P270 P145,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-39A,P000 P316 P062 P060 P139 P083 P303,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-40A,P089 P122 P301 P186 P125,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-41A,P324 P270 P062 P060 P122 P086 P035 P378,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-42A,P301 P230 P062 P122 P385,Mohenjo-daro,seal,1,False,L-R,unicorn_III
M-43A,P324 P230 P056 P122 P142 P360,Mohenjo-daro,seal,1,False,L-R,unicorn_III
M-44A,P324 P332 P147 P316 P364 P122 P154 P296,Mohenjo-daro,seal,1,False,L-R,unicorn_III
M-45A,P268 P268 P372 P139 P205 P349 P145,Mohenjo-daro,seal,1,False,L-R,unicorn_III
M-46A,P324 P230 P062 P060 P122 P050 P201 P353,Mohenjo-daro,seal,1,False,L-R,unicorn_III
M-47A,P324 P332 P060 P122 P385,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-48A,P086 P378 P215 P120 P202 P154,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-49A,P000 P230 P062 P050 P145 P122 P205 P091 P145 P076,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-50A,P324 P288 P127 P147 P316 P062 P230 P122 P000,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-51A,P324 P230 P215 P091 P060 P324 P086 P011,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-52A,P324 P172 P145 P050 P092 P060 P364 P122 P211 P320,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-53A,P013 P324 P050 P126 P122 P205 P076 P154 P011,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-54A,P051 P062 P147 P316 P230 P122 P378,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-55A,P000 P332 P215 P275 P121 P256,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-56A,P324 P382 P145 P060 P120 P230 P281 P349,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-57A,P051 P145 P056 P230 P122 P258,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-58A,P324 P215 P210 P122 P385,Mohenjo-daro,seal,1,False,L-R,unicorn_III
M-59A,P202 P123 P326 P120 P160,Mohenjo-daro,seal,1,False,L-R,unicorn_III
M-60A,P001 P000,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-61A,P324 P251 P056 P050 P221 P268 P246,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-62A,P051 P122 P325 P230 P310 P234,Mohenjo-daro,seal,1,False,L-R,unicorn_III
M-63A,P301 P230 P120 P230,Mohenjo-daro,seal,1,False,L-R,unicorn_III
M-64A,P217 P147 P316 P120 P050 P124,Mohenjo-daro,seal,1,False,L-R,unicorn_III
M-65A,P217 P050 P144 P121 P316 P289,Mohenjo-daro,seal,1,False,L-R,unicorn_III
M-66A,P086 P276 P060 P122 P103 P206 P091 P324,Mohenjo-daro,seal,2,False,L-R,unicorn_III
M-67A,P324 P342 P154 P120 P040 P289 P223,Mohenjo-daro,seal,2,True,L-R,unicorn_III
M-68A,P013 P324 P194 P326 P120 P160 P260 P047,Mohenjo-daro,seal,2,False,L-R,unicorn_III
M-69A,P324 P364 P056 P120 P256,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-70A,P051 P145 P122 P086 P256,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-71A,P001 P108 P031 P122 P086 P023,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-72A,P324 P073 P316 P011 P125 P385,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-73A,P098 P217 P181 P000,Mohenjo-daro,seal,1,False,L-R,unicorn_III
M-74A,P280 P289 P316 P011,Mohenjo-daro,seal,1,True,L-R,unicorn_III
M-75A,P217 P050 P124 P122 P385,Mohenjo-daro,seal,1,False,L-R,unicorn_III
M-77A,P366 P086 P364 P122 P385,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-78A,P324 P043 P145 P226,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-79A,P324 P012 P062 P058 P122 P385 P247,Mohenjo-daro,seal,2,True,L-R,unicorn_IV
M-80A,P004 P123 P120 P202 P385,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-81A,P301 P230 P062 P122 P268 P268 P217,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-82A,P324 P053 P122 P082 P230 P086,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-83A,P086 P128 P180,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-84A,P324 P335 P062 P121 P202 P154,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-85A,P217 P058 P325 P251 P070,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-86A,P217 P147 P316 P056 P122 P378 P310,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-87A,P098 P178 P020,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-88A,P301 P110 P058,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-89A,P324 P358 P313 P145 P060,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-90A,P324 P349 P139 P144 P122 P385,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-91A,P324 P009 P230 P050 P145 P122 P385 P073 P095,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-92A,P324 P075 P215 P091 P122 P369 P253,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
